Timestamp,Source_Country,Target_Country,Source_IP,Target_IP,Attack_Type,Port,Severity,Attack_Duration_Seconds,Year,Month,Hour,Date
2024-12-11,France,USA,227.192.153.55,109.26.147.240,Port Scan,53,High,793,2024,12,0,2024-12-11
2016-04-19,USA,Russia,137.17.149.188,106.141.202.62,SQL Injection,5432,Medium,2076,2016,4,0,2016-04-19
2017-12-18,USA,India,141.131.196.4,126.142.201.245,Phishing,22,High,3544,2017,12,0,2017-12-18
2022-01-02,USA,Turkey,235.220.7.26,139.67.232.12,Brute Force,3306,Medium,923,2022,1,0,2022-01-02
2020-08-09,Brazil,Spain,203.24.235.10,35.231.110.167,Brute Force,3306,Medium,1482,2020,8,0,2020-08-09
2024-09-17,Russia,Japan,229.13.125.172,160.231.14.236,DDoS,53,Medium,2892,2024,9,0,2024-09-17
2022-07-10,UK,Russia,234.39.147.179,193.155.101.60,DDoS,25,Medium,3410,2022,7,0,2022-07-10
2017-09-02,Sweden,Mexico,19.76.52.214,43.193.55.109,DDoS,21,Low,742,2017,9,0,2017-09-02
2019-12-12,Brazil,Russia,175.229.120.158,93.216.247.209,Phishing,53,Medium,904,2019,12,0,2019-12-12
2015-07-09,Germany,Canada,46.204.221.149,163.95.234.160,Phishing,80,High,2034,2015,7,0,2015-07-09
2023-03-25,Brazil,China,75.124.229.48,147.95.167.148,Port Scan,3306,Medium,1446,2023,3,0,2023-03-25
2022-06-27,Spain,Italy,62.58.18.108,28.3.160.86,Ransomware,53,Critical,375,2022,6,0,2022-06-27
2023-03-25,Netherlands,Mexico,187.219.229.48,108.186.182.170,SQL Injection,8080,Medium,2910,2023,3,0,2023-03-25
2016-07-16,Italy,Poland,63.12.215.34,117.108.15.230,XSS,80,Low,1673,2016,7,0,2016-07-16
2020-03-14,Poland,Netherlands,254.189.102.87,211.62.31.189,DDoS,25,Critical,624,2020,3,0,2020-03-14
2024-12-17,USA,Indonesia,181.25.190.132,26.197.185.148,DDoS,53,Medium,2347,2024,12,0,2024-12-17
2018-06-21,Mexico,UK,222.222.141.170,251.66.149.115,Port Scan,5432,High,1049,2018,6,0,2018-06-21
2022-11-19,Canada,Mexico,49.78.184.175,60.63.179.228,DDoS,53,Low,606,2022,11,0,2022-11-19
2019-03-09,China,Brazil,136.55.216.18,220.212.101.167,Malware,21,Medium,2114,2019,3,0,2019-03-09
2023-10-08,Indonesia,Japan,35.217.209.160,100.139.119.57,DDoS,3389,High,2577,2023,10,0,2023-10-08
2024-09-26,USA,South Korea,248.152.7.13,131.37.212.224,Malware,5432,Low,1645,2024,9,0,2024-09-26
2016-10-08,Japan,Japan,126.219.112.69,111.153.149.250,DDoS,443,High,1415,2016,10,0,2016-10-08
2020-08-30,China,UK,100.90.42.109,242.208.112.170,Port Scan,8080,High,278,2020,8,0,2020-08-30
2022-11-28,Brazil,Italy,159.202.110.26,1.23.107.113,Ransomware,53,Low,2058,2022,11,0,2022-11-28
2021-01-23,South Korea,France,214.76.32.91,152.175.89.135,Brute Force,443,High,3418,2021,1,0,2021-01-23
2018-07-21,Germany,Poland,225.125.245.126,249.250.38.239,Port Scan,5432,Low,1165,2018,7,0,2018-07-21
2021-09-01,Brazil,Canada,52.148.103.105,47.103.163.206,XSS,3389,Medium,28,2021,9,0,2021-09-01
2016-08-23,Russia,India,168.187.205.14,62.73.3.102,Phishing,53,Critical,3172,2016,8,0,2016-08-23
2021-06-21,Mexico,China,172.104.117.214,148.233.225.105,Port Scan,22,Low,1211,2021,6,0,2021-06-21
2020-08-23,USA,South Korea,210.48.93.171,44.160.100.26,Malware,443,High,2441,2020,8,0,2020-08-23
2015-08-30,Brazil,Netherlands,144.110.163.53,48.5.59.61,Port Scan,21,High,2768,2015,8,0,2015-08-30
2020-08-03,Netherlands,Mexico,162.3.68.246,49.158.145.70,Port Scan,5432,High,849,2020,8,0,2020-08-03
2022-09-25,Spain,France,133.138.52.157,186.191.189.191,Phishing,80,High,3383,2022,9,0,2022-09-25
2024-05-10,Brazil,Japan,96.31.66.204,15.1.141.176,Port Scan,53,Low,261,2024,5,0,2024-05-10
2022-02-25,Canada,Canada,91.69.165.155,128.162.125.158,DDoS,22,High,3141,2022,2,0,2022-02-25
2023-01-24,Mexico,Canada,87.33.68.187,19.119.64.66,DDoS,80,Critical,38,2023,1,0,2023-01-24
2018-09-25,Italy,Netherlands,192.213.88.172,245.57.44.12,Malware,443,Low,1090,2018,9,0,2018-09-25
2020-11-09,Germany,South Korea,95.108.240.216,122.168.236.24,Phishing,53,Medium,1499,2020,11,0,2020-11-09
2018-10-22,China,Australia,177.53.74.49,139.194.1.249,Port Scan,3306,Medium,3566,2018,10,0,2018-10-22
2023-03-23,China,Germany,113.114.194.95,186.28.68.105,Ransomware,80,Medium,467,2023,3,0,2023-03-23
2019-01-18,Russia,Australia,191.25.132.179,251.94.124.187,Port Scan,25,High,2112,2019,1,0,2019-01-18
2024-07-31,UK,South Korea,139.145.108.194,199.124.22.218,Phishing,5432,High,2795,2024,7,0,2024-07-31
2021-12-31,USA,Indonesia,198.201.69.84,157.89.202.212,Brute Force,80,Low,1204,2021,12,0,2021-12-31
2017-02-14,France,Indonesia,157.85.201.220,206.225.197.45,Ransomware,53,High,2726,2017,2,0,2017-02-14
2015-02-04,Russia,Brazil,253.119.72.223,198.214.124.145,SQL Injection,80,Medium,2893,2015,2,0,2015-02-04
2021-03-03,Russia,Japan,20.27.8.246,79.39.168.28,Phishing,443,Medium,2013,2021,3,0,2021-03-03
2023-08-19,Italy,UK,85.61.156.215,245.130.210.155,Port Scan,443,High,1811,2023,8,0,2023-08-19
2020-05-09,India,Indonesia,198.3.197.201,149.87.135.189,Phishing,8080,Low,2147,2020,5,0,2020-05-09
2019-05-05,USA,France,7.188.4.231,52.251.176.126,Port Scan,80,Medium,304,2019,5,0,2019-05-05
2024-06-21,Mexico,Canada,133.139.125.15,147.73.140.238,Port Scan,21,Medium,1097,2024,6,0,2024-06-21
2023-06-01,USA,UK,192.226.13.118,94.199.2.17,DDoS,3306,High,947,2023,6,0,2023-06-01
2017-10-18,South Korea,Japan,240.7.104.6,203.242.125.204,DDoS,25,Low,1167,2017,10,0,2017-10-18
2024-06-23,Canada,France,184.64.231.178,131.21.78.79,SQL Injection,53,Critical,214,2024,6,0,2024-06-23
2022-02-26,Russia,Russia,30.22.153.156,51.106.105.10,Ransomware,22,Critical,2353,2022,2,0,2022-02-26
2018-02-03,Mexico,Turkey,118.84.167.195,116.55.36.51,DDoS,21,High,1438,2018,2,0,2018-02-03
2019-02-09,India,China,133.193.143.90,74.17.254.236,DDoS,3389,Medium,1753,2019,2,0,2019-02-09
2016-12-03,India,Italy,195.168.121.233,217.61.91.225,SQL Injection,3389,Critical,345,2016,12,0,2016-12-03
2021-09-15,USA,Spain,239.106.226.244,203.141.193.95,Phishing,443,Critical,744,2021,9,0,2021-09-15
2022-08-09,Russia,Indonesia,69.95.243.77,225.254.213.80,DDoS,3389,High,1622,2022,8,0,2022-08-09
2019-04-29,Turkey,Netherlands,171.1.150.62,103.215.202.48,DDoS,53,Medium,2542,2019,4,0,2019-04-29
2015-06-11,Brazil,Sweden,207.154.18.48,225.86.233.70,SQL Injection,80,Medium,1705,2015,6,0,2015-06-11
2015-07-21,Germany,Brazil,137.1.235.137,47.228.239.10,Malware,3306,Low,1923,2015,7,0,2015-07-21
2020-06-04,Germany,Sweden,151.107.173.250,185.80.13.243,DDoS,3389,Medium,1149,2020,6,0,2020-06-04
2017-09-22,UK,Germany,130.142.38.40,189.58.84.68,Port Scan,8080,Medium,2889,2017,9,0,2017-09-22
2021-05-06,USA,Germany,191.82.16.127,84.86.157.144,Phishing,25,Critical,2456,2021,5,0,2021-05-06
2017-03-26,Russia,Canada,117.93.236.203,235.63.175.43,DDoS,22,High,1260,2017,3,0,2017-03-26
2024-02-25,South Korea,Turkey,134.3.14.252,151.158.185.30,DDoS,80,Low,3040,2024,2,0,2024-02-25
2016-03-31,China,Russia,66.224.95.203,235.67.184.24,SQL Injection,5432,Medium,657,2016,3,0,2016-03-31
2024-09-03,China,Mexico,86.195.114.159,241.101.205.106,Brute Force,443,Low,617,2024,9,0,2024-09-03
2018-06-29,USA,Russia,161.254.216.129,224.101.204.8,Port Scan,443,High,2392,2018,6,0,2018-06-29
2017-10-13,Brazil,Netherlands,172.15.37.155,216.172.208.96,SQL Injection,53,Medium,776,2017,10,0,2017-10-13
2021-06-01,Italy,Italy,230.176.27.236,162.35.96.50,Port Scan,21,Low,1670,2021,6,0,2021-06-01
2022-07-30,USA,Canada,12.67.30.96,145.2.218.182,Ransomware,3389,Medium,3593,2022,7,0,2022-07-30
2015-12-04,China,Indonesia,215.194.135.34,44.209.102.177,DDoS,80,High,3599,2015,12,0,2015-12-04
2017-05-28,Russia,Italy,32.117.39.96,130.72.110.198,SQL Injection,22,Medium,2112,2017,5,0,2017-05-28
2017-12-12,South Korea,India,171.171.206.131,137.129.197.103,Ransomware,5432,High,2008,2017,12,0,2017-12-12
2017-03-02,France,Netherlands,174.160.43.228,137.142.27.137,XSS,8080,High,502,2017,3,0,2017-03-02
2021-03-14,Brazil,Netherlands,81.240.3.249,164.93.212.207,Phishing,22,High,1660,2021,3,0,2021-03-14
2017-02-02,Canada,Turkey,74.117.63.111,100.131.248.117,Port Scan,3306,Medium,3083,2017,2,0,2017-02-02
2021-02-13,UK,Japan,40.18.67.103,151.122.246.110,Port Scan,8080,Critical,607,2021,2,0,2021-02-13
2016-01-15,Italy,Russia,190.138.180.201,73.30.19.102,Port Scan,3389,Medium,430,2016,1,0,2016-01-15
2016-05-07,Mexico,Sweden,46.55.174.75,67.50.48.3,Phishing,5432,Medium,3373,2016,5,0,2016-05-07
2023-07-10,China,Mexico,188.97.228.26,226.66.250.155,Malware,5432,Critical,1005,2023,7,0,2023-07-10
2018-03-26,Russia,Russia,155.166.22.26,215.106.224.111,Malware,22,Critical,1270,2018,3,0,2018-03-26
2020-08-24,USA,UK,214.197.163.194,227.40.125.18,Port Scan,5432,Low,1613,2020,8,0,2020-08-24
2015-03-06,Russia,Germany,227.73.115.51,155.139.167.19,Phishing,53,Critical,94,2015,3,0,2015-03-06
2022-01-12,Sweden,Japan,113.146.171.12,89.135.223.57,Brute Force,25,Low,2363,2022,1,0,2022-01-12
2018-09-29,Brazil,Australia,3.210.120.230,130.38.133.206,Brute Force,53,High,2201,2018,9,0,2018-09-29
2018-02-26,China,Italy,135.225.134.82,82.36.196.88,Phishing,22,Medium,1264,2018,2,0,2018-02-26
2020-07-20,Canada,Sweden,45.127.86.115,205.119.253.85,Phishing,5432,Low,2188,2020,7,0,2020-07-20
2022-05-19,Germany,Russia,167.179.9.227,185.225.148.133,SQL Injection,5432,Medium,1621,2022,5,0,2022-05-19
2019-02-04,USA,South Korea,151.12.116.88,24.227.30.28,DDoS,3306,Critical,216,2019,2,0,2019-02-04
2023-08-01,Brazil,USA,62.242.104.73,181.179.109.135,DDoS,5432,High,2842,2023,8,0,2023-08-01
2018-03-08,Brazil,Poland,77.40.182.234,170.35.119.222,SQL Injection,80,Critical,370,2018,3,0,2018-03-08
2019-03-03,Canada,Poland,209.135.17.119,34.103.201.252,DDoS,22,High,972,2019,3,0,2019-03-03
2022-03-25,USA,Mexico,126.178.24.2,117.76.54.29,SQL Injection,8080,High,3365,2022,3,0,2022-03-25
2016-01-27,China,Australia,227.253.92.211,138.27.211.13,Phishing,3306,Low,2289,2016,1,0,2016-01-27
2019-08-26,India,USA,161.149.117.202,42.165.189.224,SQL Injection,3306,Low,981,2019,8,0,2019-08-26
2016-02-23,China,Poland,53.46.45.9,207.21.131.136,DDoS,8080,Medium,1559,2016,2,0,2016-02-23
2021-05-25,UK,Netherlands,230.6.51.245,70.221.211.145,DDoS,21,High,2369,2021,5,0,2021-05-25
2016-01-14,India,Italy,234.119.35.82,10.225.141.219,DDoS,3389,High,2093,2016,1,0,2016-01-14
2019-12-02,Russia,Netherlands,181.147.197.25,106.12.194.202,DDoS,25,Medium,614,2019,12,0,2019-12-02
2024-10-01,Indonesia,Canada,139.202.17.36,128.213.151.193,XSS,80,High,284,2024,10,0,2024-10-01
2021-03-28,France,Germany,218.223.96.21,225.128.180.61,Port Scan,443,High,1921,2021,3,0,2021-03-28
2023-05-24,USA,Canada,18.188.146.1,26.15.22.89,Port Scan,3389,Medium,2035,2023,5,0,2023-05-24
2020-09-19,Germany,Russia,142.136.194.51,65.251.154.21,DDoS,3389,High,1815,2020,9,0,2020-09-19
2023-06-27,Australia,Italy,79.188.162.36,233.152.231.16,Phishing,3306,Medium,1236,2023,6,0,2023-06-27
2020-12-22,Japan,USA,62.129.243.85,160.16.205.42,Phishing,5432,Critical,672,2020,12,0,2020-12-22
2015-07-20,China,UK,42.1.224.212,160.178.41.108,DDoS,53,Low,2135,2015,7,0,2015-07-20
2020-02-07,Poland,USA,54.175.100.39,125.152.13.203,Brute Force,8080,Medium,3079,2020,2,0,2020-02-07
2017-02-18,Brazil,Turkey,158.7.150.121,79.138.42.169,Malware,8080,Medium,1483,2017,2,0,2017-02-18
2023-02-25,China,Japan,178.45.74.120,249.121.131.183,DDoS,3389,High,2231,2023,2,0,2023-02-25
2023-07-02,China,Mexico,72.219.138.142,16.44.209.217,SQL Injection,3389,Medium,1352,2023,7,0,2023-07-02
2023-07-17,USA,Canada,46.123.244.118,158.239.121.227,SQL Injection,5432,High,2347,2023,7,0,2023-07-17
2016-05-17,Australia,Sweden,75.6.21.190,165.188.205.24,Port Scan,3389,High,2446,2016,5,0,2016-05-17
2021-09-20,USA,Germany,225.147.103.88,230.26.58.9,Malware,8080,Medium,14,2021,9,0,2021-09-20
2024-12-24,USA,USA,210.99.244.62,126.189.19.28,DDoS,22,Medium,2148,2024,12,0,2024-12-24
2019-10-18,Spain,UK,107.229.83.181,135.45.214.128,Port Scan,3389,Low,756,2019,10,0,2019-10-18
2017-03-15,Russia,Australia,152.56.190.162,94.191.165.16,Port Scan,25,Low,169,2017,3,0,2017-03-15
2020-11-16,USA,Sweden,22.68.185.10,228.5.157.52,SQL Injection,22,Critical,2280,2020,11,0,2020-11-16
2022-06-24,USA,Poland,66.8.225.123,243.151.6.164,Ransomware,5432,High,1135,2022,6,0,2022-06-24
2020-03-10,USA,Turkey,38.235.123.62,185.161.49.169,DDoS,3306,High,3419,2020,3,0,2020-03-10
2022-08-05,China,Brazil,156.138.45.65,80.183.98.107,DDoS,21,Medium,3412,2022,8,0,2022-08-05
2019-04-20,France,Russia,226.67.137.133,154.37.205.116,Phishing,3389,Medium,2662,2019,4,0,2019-04-20
2017-08-18,China,USA,106.138.140.82,17.224.32.156,DDoS,5432,Medium,729,2017,8,0,2017-08-18
2022-04-14,USA,Indonesia,58.149.149.193,221.25.175.22,DDoS,53,Low,240,2022,4,0,2022-04-14
2019-01-25,Canada,Italy,131.69.89.250,219.61.126.44,Port Scan,3306,High,2288,2019,1,0,2019-01-25
2022-05-14,Japan,France,64.177.72.17,102.20.109.178,DDoS,53,High,2781,2022,5,0,2022-05-14
2017-10-25,Brazil,USA,73.160.70.113,88.175.47.200,Port Scan,53,Medium,270,2017,10,0,2017-10-25
2024-01-03,Germany,Sweden,232.21.135.7,51.183.206.39,Port Scan,443,Critical,2588,2024,1,0,2024-01-03
2016-05-17,Russia,Spain,111.231.246.27,14.197.175.21,DDoS,5432,Medium,1310,2016,5,0,2016-05-17
2022-09-15,India,Brazil,8.201.28.207,143.248.100.97,SQL Injection,5432,Critical,2383,2022,9,0,2022-09-15
2016-02-02,India,India,194.199.47.210,209.249.212.1,DDoS,25,Low,1590,2016,2,0,2016-02-02
2017-05-20,Brazil,Mexico,86.242.10.246,208.109.82.138,XSS,443,Critical,443,2017,5,0,2017-05-20
2022-10-13,Netherlands,Italy,114.33.135.131,151.18.241.58,Port Scan,21,High,725,2022,10,0,2022-10-13
2016-01-28,USA,Germany,14.172.46.61,126.73.110.245,Phishing,443,Medium,908,2016,1,0,2016-01-28
2015-07-26,Australia,USA,164.13.16.208,222.205.52.244,Malware,21,High,1527,2015,7,0,2015-07-26
2017-11-04,USA,Poland,246.133.244.217,223.46.107.13,Port Scan,22,Critical,2418,2017,11,0,2017-11-04
2020-02-25,Australia,Mexico,38.230.178.38,96.17.67.61,Malware,3306,Medium,1144,2020,2,0,2020-02-25
2024-12-04,UK,Germany,103.56.63.254,65.181.133.160,Ransomware,3389,Low,75,2024,12,0,2024-12-04
2023-01-18,Spain,Italy,120.48.105.218,89.173.56.5,DDoS,3306,Critical,2471,2023,1,0,2023-01-18
2019-01-24,USA,Netherlands,59.77.172.243,101.87.204.162,XSS,443,High,70,2019,1,0,2019-01-24
2024-12-25,Germany,Netherlands,218.127.55.55,61.215.208.241,DDoS,21,High,2883,2024,12,0,2024-12-25
2017-05-13,India,South Korea,129.136.127.132,190.69.63.44,DDoS,8080,Low,745,2017,5,0,2017-05-13
2022-08-22,Japan,Japan,85.254.214.115,239.28.198.13,Malware,3389,Low,2319,2022,8,0,2022-08-22
2024-01-26,Germany,Japan,181.58.37.49,171.30.154.209,DDoS,443,High,132,2024,1,0,2024-01-26
2016-07-17,Germany,Turkey,67.19.129.29,63.73.57.64,Phishing,3306,Medium,1122,2016,7,0,2016-07-17
2017-10-17,Brazil,Turkey,87.33.119.180,208.177.52.63,Ransomware,443,Critical,102,2017,10,0,2017-10-17
2015-04-06,Russia,Turkey,169.151.133.71,248.210.141.93,Brute Force,25,High,3500,2015,4,0,2015-04-06
2020-04-07,India,Australia,185.250.134.177,107.109.88.250,SQL Injection,3306,Critical,1191,2020,4,0,2020-04-07
2019-10-24,USA,Mexico,22.241.77.204,45.108.46.77,XSS,22,Medium,1129,2019,10,0,2019-10-24
2021-12-07,Poland,Australia,4.254.72.192,217.169.46.129,Port Scan,8080,Low,1990,2021,12,0,2021-12-07
2024-07-10,South Korea,Spain,165.159.165.128,201.196.92.12,DDoS,3389,Medium,598,2024,7,0,2024-07-10
2021-03-28,Indonesia,South Korea,45.218.235.136,88.253.238.73,SQL Injection,25,Medium,1573,2021,3,0,2021-03-28
2022-08-28,China,Poland,168.225.237.93,163.102.99.161,Phishing,22,High,1466,2022,8,0,2022-08-28
2019-08-06,Italy,China,5.156.245.104,58.246.128.117,SQL Injection,443,High,672,2019,8,0,2019-08-06
2023-11-17,Australia,Brazil,81.247.87.237,35.254.174.84,SQL Injection,443,Medium,635,2023,11,0,2023-11-17
2016-06-24,Japan,Poland,137.130.63.224,66.172.26.42,Port Scan,21,Low,924,2016,6,0,2016-06-24
2017-11-25,UK,UK,51.116.113.31,77.30.116.160,SQL Injection,80,Low,2010,2017,11,0,2017-11-25
2022-01-16,Russia,Italy,7.158.186.3,36.19.22.65,Brute Force,25,Medium,3338,2022,1,0,2022-01-16
2018-03-29,Mexico,Italy,51.243.56.73,57.11.26.176,SQL Injection,22,High,2900,2018,3,0,2018-03-29
2019-09-19,India,Germany,10.61.238.50,19.83.140.67,Port Scan,3389,Medium,2468,2019,9,0,2019-09-19
2024-01-28,USA,Russia,122.175.218.1,247.56.18.113,Malware,443,Critical,2309,2024,1,0,2024-01-28
2023-08-24,Russia,Germany,222.185.38.190,5.112.152.206,Port Scan,5432,High,3025,2023,8,0,2023-08-24
2019-12-25,Turkey,Netherlands,79.89.198.82,115.166.67.70,Malware,22,Critical,1458,2019,12,0,2019-12-25
2022-03-10,Spain,China,193.190.184.67,204.52.254.203,DDoS,3389,Medium,2464,2022,3,0,2022-03-10
2022-06-22,Sweden,UK,17.127.112.136,127.167.187.154,Port Scan,3306,Critical,1379,2022,6,0,2022-06-22
2022-02-17,UK,Canada,60.241.40.209,65.80.176.113,DDoS,443,High,3533,2022,2,0,2022-02-17
2019-05-17,China,UK,89.190.41.140,111.53.137.133,DDoS,22,Medium,2749,2019,5,0,2019-05-17
2023-05-19,China,Brazil,221.217.115.100,116.72.189.21,Phishing,5432,Medium,1409,2023,5,0,2023-05-19
2022-05-17,China,Sweden,117.182.89.93,225.103.107.63,Port Scan,53,Critical,2591,2022,5,0,2022-05-17
2017-03-06,USA,UK,139.60.68.78,148.186.245.173,Ransomware,5432,Medium,1299,2017,3,0,2017-03-06
2017-11-17,Brazil,Brazil,46.38.189.17,150.77.231.75,SQL Injection,22,Low,3031,2017,11,0,2017-11-17
2019-07-02,China,Australia,66.200.36.74,210.191.158.63,Port Scan,53,Medium,3382,2019,7,0,2019-07-02
2024-12-06,Brazil,India,7.228.16.14,225.172.67.186,Malware,3306,Low,1920,2024,12,0,2024-12-06
2018-09-25,Turkey,Poland,80.25.105.4,252.193.36.134,Phishing,443,Medium,2978,2018,9,0,2018-09-25
2020-06-04,Brazil,India,157.127.56.6,37.93.75.244,Malware,25,High,3204,2020,6,0,2020-06-04
2018-09-16,Italy,Poland,129.167.129.115,183.205.203.187,Phishing,5432,High,1712,2018,9,0,2018-09-16
2019-07-22,UK,Russia,232.191.57.195,166.115.153.207,DDoS,25,High,2864,2019,7,0,2019-07-22
2019-03-10,China,Canada,65.65.103.21,245.77.234.161,Phishing,25,Medium,49,2019,3,0,2019-03-10
2020-07-31,Russia,UK,237.158.224.33,13.38.245.186,Port Scan,3306,Low,444,2020,7,0,2020-07-31
2024-05-12,USA,Turkey,176.22.222.182,216.148.236.17,SQL Injection,21,Low,2933,2024,5,0,2024-05-12
2019-02-05,Russia,Japan,110.4.215.183,123.114.152.26,Brute Force,3389,High,172,2019,2,0,2019-02-05
2024-01-16,Japan,Japan,172.217.140.209,168.32.221.206,Port Scan,3306,Low,930,2024,1,0,2024-01-16
2021-02-15,USA,South Korea,245.207.74.227,165.86.98.91,Phishing,3389,High,3038,2021,2,0,2021-02-15
2024-01-10,China,Mexico,119.244.180.93,220.121.214.188,Port Scan,53,Medium,1848,2024,1,0,2024-01-10
2018-11-09,Brazil,Italy,204.65.65.10,57.107.186.195,DDoS,5432,High,3402,2018,11,0,2018-11-09
2018-11-01,Sweden,India,146.47.66.49,22.186.112.85,SQL Injection,3389,High,6,2018,11,0,2018-11-01
2018-07-30,Australia,Russia,200.22.86.26,80.73.77.74,SQL Injection,3389,Low,1228,2018,7,0,2018-07-30
2022-05-04,South Korea,France,218.137.149.95,127.177.121.85,Port Scan,3389,High,2417,2022,5,0,2022-05-04
2022-04-29,USA,Sweden,244.191.107.134,177.170.168.199,Port Scan,21,Medium,2942,2022,4,0,2022-04-29
2017-08-30,Australia,South Korea,248.14.161.71,174.150.82.21,Ransomware,3306,High,722,2017,8,0,2017-08-30
2019-11-04,Australia,Mexico,152.201.75.120,179.242.142.74,DDoS,443,High,931,2019,11,0,2019-11-04
2018-07-06,UK,Russia,215.112.51.130,225.9.146.13,Port Scan,53,Low,2329,2018,7,0,2018-07-06
2024-05-23,Sweden,France,143.163.36.244,251.17.126.87,Malware,21,High,1079,2024,5,0,2024-05-23
2016-12-10,Russia,Japan,118.220.167.236,153.182.16.24,Brute Force,22,Low,1193,2016,12,0,2016-12-10
2019-01-19,Indonesia,Australia,4.192.202.6,223.75.151.169,Port Scan,53,Medium,3385,2019,1,0,2019-01-19
2018-12-05,Netherlands,Canada,185.158.246.110,103.253.86.161,Ransomware,5432,Low,2966,2018,12,0,2018-12-05
2016-10-10,USA,China,99.241.235.202,105.42.176.245,DDoS,3306,Medium,3550,2016,10,0,2016-10-10
2015-11-14,India,Indonesia,122.253.117.96,253.18.191.78,DDoS,22,Low,2476,2015,11,0,2015-11-14
